toxicity,severe_toxicity,obscene,threat,insult,identity_attack
0.9949157,0.21379472,0.882,0.014426969,0.9533068,0.77719134
0.94851565,0.0420199,0.23092586,0.010428264,0.4464885,0.71135885
0.977366,0.08419829,0.2706435,0.017313898,0.67381436,0.8308426
0.963016,0.061344586,0.27464455,0.014592312,0.5979686,0.7550683
0.92476845,0.026540982,0.1325672,0.008058778,0.33398083,0.62913305
0.81890965,0.018219966,0.09667982,0.0069744443,0.22711517,0.5805436
0.9406258,0.041948378,0.24709499,0.010918094,0.5291256,0.73560894
0.9987882,0.67045313,0.9904174,0.07760267,0.9713939,0.86182445
0.948005,0.051155478,0.34044063,0.0090914015,0.66910714,0.7373636
0.39895082,0.0035006495,0.010078905,0.0022909455,0.035367798,0.22295564
0.9822046,0.099952504,0.3912762,0.021635985,0.76520956,0.869014
0.82522106,0.011593421,0.043819156,0.0071615237,0.12999286,0.527284
0.9976019,0.5567622,0.9657837,0.092273094,0.9470456,0.881039
0.95005417,0.04865613,0.24511798,0.014837886,0.5009131,0.79070324
0.80197096,0.015173892,0.08463226,0.012553901,0.16908455,0.53366566
0.7905951,0.009804913,0.05518182,0.004962975,0.19828889,0.40587035
0.9822046,0.099952504,0.3912762,0.021635985,0.76520956,0.869014
0.76772636,0.008716363,0.030379334,0.004855832,0.11005796,0.45423454
0.93432564,0.028927198,0.15034369,0.007996403,0.39125517,0.6359018
0.97719836,0.10304019,0.44480434,0.021181252,0.72392285,0.87695056
0.939195,0.04288348,0.29865566,0.011536956,0.5269078,0.71502733
0.6851551,0.0128575,0.09171079,0.004842881,0.16442907,0.4395302
0.97240055,0.09136338,0.31784302,0.016695322,0.6501429,0.8469547
0.9863259,0.15262283,0.6767634,0.029538414,0.7390055,0.8705357
0.9981164,0.44369653,0.9770294,0.025474379,0.9525827,0.80204785
0.9118498,0.0407031,0.25365934,0.010886291,0.4331539,0.7452023
0.78228194,0.018454222,0.089144856,0.0056450553,0.28870067,0.5642755
0.91087353,0.03712631,0.19936961,0.011859114,0.38561258,0.75485706
0.97265875,0.079900734,0.28955826,0.015011137,0.6341497,0.819618
0.82241607,0.015182176,0.07745412,0.005313755,0.2367735,0.55988604
0.9079636,0.028901646,0.14202392,0.0072300867,0.36527905,0.6551744
0.89590293,0.01846395,0.060024697,0.0073243976,0.19233699,0.60817677
0.7510837,0.009479434,0.03806165,0.0041543473,0.15252614,0.46387583
0.9863056,0.15155664,0.41303608,0.025483042,0.75388724,0.89038754
0.8258524,0.014674676,0.09491482,0.0061732237,0.22645889,0.5187897
0.9848835,0.12863041,0.39456773,0.02119166,0.74719745,0.860772
0.98113626,0.111390784,0.422531,0.026966715,0.7412291,0.879883
0.7150788,0.0072464896,0.033947915,0.0031864087,0.1517769,0.38919225
0.9777296,0.09963221,0.36180523,0.017011268,0.6694395,0.8454016
0.9498514,0.044913027,0.26427943,0.010144015,0.5853663,0.7505643
0.97759414,0.085725576,0.28568605,0.019841723,0.65578204,0.82584417
0.98113626,0.111390784,0.422531,0.026966715,0.7412291,0.879883
0.8780665,0.01650285,0.068286985,0.0082940925,0.20691657,0.59058124
0.896235,0.014714683,0.074018635,0.0068863467,0.2388909,0.55815846
0.82949865,0.011064018,0.06236226,0.0056901462,0.17878816,0.47319064
0.9747918,0.10235221,0.3214806,0.018032536,0.6416064,0.86026186
0.9793815,0.11255146,0.34984457,0.019436136,0.6978374,0.86851954
0.9429584,0.04738141,0.21717934,0.014553821,0.45764145,0.80608714
0.9690043,0.05168916,0.38110822,0.011458698,0.7307797,0.70856875
0.79873866,0.010189684,0.05212847,0.005188376,0.1345396,0.4514644
0.9436392,0.04390934,0.41205883,0.010131693,0.5190899,0.6639655
0.89115274,0.028499963,0.3377837,0.0089842575,0.3520001,0.50799686
0.9466198,0.04087571,0.23632526,0.011787981,0.45723465,0.7524021
0.9612346,0.05830963,0.30370262,0.011156348,0.5812812,0.7383177
0.9953915,0.33604124,0.9495853,0.033199962,0.8850258,0.82776797
0.59760517,0.006487824,0.035214465,0.0032650852,0.10978667,0.32266515
0.8047281,0.01257748,0.072835796,0.0049673896,0.17885794,0.497114
0.9817199,0.13783057,0.41539246,0.021370597,0.73919505,0.88585955
0.97554624,0.08702091,0.42703617,0.016423032,0.55415964,0.7939813
0.7729353,0.010462854,0.038017187,0.005775866,0.13696548,0.5117271
0.9983552,0.5511171,0.9792101,0.031037806,0.97570723,0.8702138
0.9554939,0.047056876,0.15521088,0.011965523,0.43865332,0.76657844
0.6656278,0.0068119755,0.03365108,0.0038813818,0.08861707,0.34988055
0.977366,0.08419829,0.2706435,0.017313898,0.67381436,0.8308426
0.977366,0.08419829,0.2706435,0.017313898,0.67381436,0.8308426
0.977366,0.08419829,0.2706435,0.017313898,0.67381436,0.8308426
0.92629254,0.043071143,0.18236804,0.015152964,0.3477575,0.75984406
0.90825677,0.034269318,0.25316212,0.0075137387,0.4911708,0.66178626
0.9792356,0.07858011,0.5272811,0.01582494,0.74075097,0.77744544
0.9794335,0.1086223,0.56872976,0.015186859,0.83572334,0.82473636
0.80425173,0.009414729,0.029163277,0.005055214,0.13050713,0.480563
0.9209652,0.021794846,0.0709627,0.008050956,0.2919145,0.6367769
0.8533981,0.016369516,0.09430041,0.006698077,0.14884543,0.5353257
0.7251479,0.006055091,0.021930952,0.0031987762,0.090617694,0.35871986
0.6776609,0.0052734064,0.026911274,0.0038449394,0.10971844,0.319109
0.79715484,0.011972684,0.05517425,0.006619154,0.14500919,0.50430125
0.82539487,0.01175573,0.047463745,0.0052308682,0.18370673,0.5228747
0.8418664,0.021882659,0.12047035,0.0072375177,0.28740284,0.6119539
0.985919,0.13675225,0.4703275,0.019614412,0.83967984,0.8594855
0.7978186,0.014827622,0.085833475,0.005299333,0.20918371,0.52724856
0.9349801,0.03702207,0.1721595,0.00920549,0.46393883,0.6821402
0.65336293,0.0042608823,0.017439878,0.0024160636,0.09070233,0.25515231
0.92802733,0.027614953,0.10127549,0.008959955,0.37267146,0.67464036
0.99318355,0.17458712,0.9505975,0.017303614,0.61417174,0.38840234
0.977366,0.08419829,0.2706435,0.017313898,0.67381436,0.8308426
0.9758232,0.07511957,0.5143963,0.021720594,0.8105828,0.75646234
0.9356796,0.02754087,0.14401829,0.008679239,0.4410427,0.70201385
0.99449843,0.28476346,0.9365175,0.022942018,0.8935348,0.8144624
0.7793693,0.008627824,0.03926173,0.0048168586,0.16620506,0.45475587
0.93290937,0.024339497,0.40191963,0.0038329733,0.6388387,0.2547282
0.9698556,0.065200455,0.282022,0.016668681,0.6226744,0.77369195
0.968888,0.07873994,0.27323562,0.015119967,0.6137456,0.82949686
0.9793815,0.11255146,0.34984457,0.019436136,0.6978374,0.86851954
0.9541333,0.047398802,0.31133232,0.012931029,0.5131052,0.7553774
0.91587,0.03950741,0.24209946,0.011370893,0.4202057,0.74656516
0.9793815,0.11255146,0.34984457,0.019436136,0.6978374,0.86851954
0.748247,0.010466711,0.05174036,0.0060717696,0.12704143,0.48466954
0.24287508,0.0034893814,0.011920059,0.0020164473,0.028094606,0.16850662
0.7873462,0.009062841,0.027341664,0.0048143216,0.1254224,0.47321904
0.84847754,0.01425756,0.08437698,0.007393612,0.2239381,0.5525007
0.99349725,0.3400571,0.7797771,0.252377,0.88715804,0.9274747
0.96448916,0.058286455,0.2925467,0.012790411,0.64089215,0.79007
0.9816642,0.092758134,0.5889985,0.010164346,0.8117538,0.7939737
0.9014014,0.023603655,0.08827924,0.013041759,0.21365248,0.6657464
0.9284199,0.048363406,0.31280443,0.011838905,0.45976573,0.7124838
0.89213574,0.021797417,0.09283592,0.0076555293,0.18317933,0.60725427
0.9788537,0.107759446,0.48027906,0.020221286,0.75688785,0.87104404
0.625392,0.012102654,0.080100745,0.005229489,0.1428489,0.44615325
0.98157066,0.12522101,0.5323286,0.018492663,0.70031124,0.83159614
0.64350516,0.00529784,0.021360757,0.0032415697,0.084054396,0.33158502
